"year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
2006,"UvU",0.925170068027211,0.900724805320513,0.880438151947894,0.921478894485357,0.903472820140609,0,0.43581442493924,0.924272323473381,1.67683078604266,3.50393700787402
2007,"UvU",0.914965986394558,0.86524285300721,0.84449246151783,0.886503111388936,0.849498727130444,0,0.425,0.877798507462687,1.75,3.62222222222222
2008,"UvU",0.894557823129252,0.819740318534269,0.797791056513757,0.842293460604967,0.788487885236623,0,0.414819565102417,0.85342504084856,1.55,3.24444444444444
2009,"UvU",0.875850340136054,0.807670825970728,0.784030945576428,0.832023489384895,0.791671465519783,0,0.389821832628203,0.889181422632083,1.59085144927536,3.34057289599287
2010,"UvU",0.828231292517007,0.782067333979672,0.754783000782581,0.810337957060395,0.759948724222018,0,0.375936963641252,0.842857142857143,1.57936827195467,3.34825242718447
2011,"UvU",0.760204081632653,0.749830686195652,0.718227896326868,0.782824032366409,0.725340635444371,0,0.376192307692307,0.8462,1.44991909385113,3.03461538461538
2012,"UvU",0.69047619047619,0.744257149217712,0.707561033157256,0.782856429628405,0.724489402102713,0,0.406,0.846301187275397,1.44005165870219,2.82608695652174
2013,"UvU",0.595238095238095,0.712078711519211,0.670105616477893,0.756680855868618,0.694655132985099,0,0.453456909090909,0.809604545454546,1.41484848484848,2.81186858
2014,"UvU",0.464285714285714,0.686099693397558,0.636451116381073,0.739621279882198,0.663779243046285,0,0.400300666666667,0.795,1.325,2.60253495833333
2015,"UvU",0.277210884353741,0.689321644269246,0.624717719117398,0.76060645427085,0.738187303271263,0,0.504268631215183,0.81042405625,1.25586932894737,2.36842105263158
2016,"UvU",0.185374149659864,0.619977523761171,0.54850577679003,0.700762227552934,0.559603276988695,0,0.520932148,0.840625,1.14469119895288,1.91304347826087
2017,"UvU",0.0986394557823129,0.62394998083005,0.537544833835873,0.724243921757582,0.548485566855713,0,0.590380541871921,0.974054166666667,1.26744186046512,1.75982696
1970,"MCatch",0.355119825708061,0.755273096811529,0.68176639887358,0.836705140807407,0.823930491586558,0,0.363783851128555,0.834651393113647,1.4413407821229,2.95456067333546
1971,"MCatch",0.360566448801743,0.779285423448992,0.70587137893167,0.860334884407973,0.868391168692538,0,0.428382866887401,0.816690647482014,1.50015084254551,3.10558141558272
1972,"MCatch",0.366013071895425,0.821282535224092,0.746661805834002,0.90336079520059,0.954389479940082,0,0.437910805404214,0.884110484287186,1.5618582115943,3.18406932369229
1973,"MCatch",0.387799564270152,0.867058483411174,0.791869866015462,0.949386314494008,0.999903527219432,0,0.45453619880424,0.90545092104265,1.54539465767871,3.14563256733383
1974,"MCatch",0.401960784313726,0.86256582892452,0.790077524589879,0.941704815124892,0.95773812969306,0,0.437054219871225,0.906663642606488,1.61001964636542,3.27692289046625
1975,"MCatch",0.429193899782135,0.93366094271879,0.858874079793299,1.01495990677508,1.06975978291574,0,0.524209664274174,0.965822077017818,1.55649717514124,3.10484791468043
1976,"MCatch",0.434640522875817,0.971220244403306,0.895149222245256,1.05375588750763,1.1439715890193,0,0.539247257066772,0.972560590913062,1.61381754876948,3.14855845126984
1977,"MCatch",0.464052287581699,0.95732042509428,0.885986025996994,1.0343982516783,1.07736268887876,0,0.531645569620253,0.934536245290373,1.46923313197502,2.87160158960449
1978,"MCatch",0.481481481481481,0.985798484181341,0.91487582154137,1.06221918705531,1.11451610177993,0,0.569432038112253,0.974300360997255,1.44579837042442,2.73718749734357
1979,"MCatch",0.498910675381264,0.998695905446041,0.929424010796705,1.07313077773805,1.09537722561695,0,0.541717264962007,0.926001444000873,1.43569500455314,2.74994051505075
